ID;Host ID;Host Response Rate;Host Listings Count;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;Geolocation;Features
15141125;96019257;100;2;2;embajadores;centro;28005;40.40745268477803;-3.707995475443264;loft;entire home/apt;2;1;0;1;50;350;1500;2;15;2;1125;30;96;10;10;10;10;10;10;moderate;5.11;40.40745268477803, -3.7079954754432634;1
9470166;9885245;100;13;13;embajadores;centro;28005;40.40831556101927;-3.705006385704201;apartment;entire home/apt;4;1;1;2;50;350;1500;2;25;1;1125;97;81;8;8;9;9;9;8;strict;5.88;40.40831556101927, -3.705006385704201;0
17444981;118059488;100;1;1;embajadores;centro;28005;40.413722014584295;-3.706823118653672;apartment;entire home/apt;4;1;1;2;77;539;2310;1;0;1;1125;7;89;9;10;9;10;10;10;moderate;6.18;40.413722014584295, -3.7068231186536718;0
3284565;1892467;100;3;3;embajadores;centro;28005;40.41126337271805;-3.6973054373712886;apartment;entire home/apt;2;1;1;2;50;350;1500;1;20;7;1125;6;93;9;9;10;10;9;9;strict;0.19;40.411263372718054, -3.6973054373712886;0
499911;2467212;100;1;1;embajadores;centro;28005;40.41255625665078;-3.701155364799422;apartment;entire home/apt;5;1;2;4;95;665;2850;4;0;4;1125;72;97;10;10;10;10;10;10;strict;1.39;40.41255625665078, -3.701155364799422;1
1346747;7306349;100;2;2;embajadores;centro;28005;40.40790775263045;-3.705095395441632;apartment;entire home/apt;4;1;1;2;69;483;2070;2;18;2;1125;27;91;10;10;9;9;9;9;moderate;0.62;40.40790775263045, -3.7050953954416324;0
3097553;15327748;50;1;1;embajadores;centro;28005;40.408983157395134;-3.698251543680056;apartment;entire home/apt;2;1;1;1;70;490;2100;1;0;1;1125;11;100;9;10;10;10;10;10;moderate;0.33;40.408983157395134, -3.698251543680056;0
13440784;76707968;100;2;2;embajadores;centro;28005;40.40835752461163;-3.704043265135827;apartment;private room;2;1;1;1;30;210;900;1;0;1;1125;2;80;9;8;8;9;7;9;moderate;0.22;40.40835752461163, -3.704043265135827;0
7818234;5239042;100;20;20;embajadores;centro;28005;40.411622134427205;-3.703281054404274;apartment;entire home/apt;4;1;1;2;57;399;1710;2;8;3;1125;9;98;9;10;10;9;9;9;moderate;0.49;40.411622134427205, -3.703281054404274;0
1386096;6643556;100;1;1;embajadores;centro;28005;40.407338871766925;-3.7070192202047374;apartment;entire home/apt;2;1;1;1;59;413;1770;1;0;5;1125;5;95;10;10;10;10;10;10;moderate;0.12;40.407338871766925, -3.7070192202047383;0
7907083;23849920;100;5;5;embajadores;centro;28005;40.41055884554781;-3.706428605664073;apartment;entire home/apt;8;1;4;5;160;1120;4800;4;15;3;1125;25;98;9;10;10;10;10;9;strict;1.31;40.41055884554781, -3.706428605664073;0
